intent,user_query,ideal_response,notes,document
eligibility_and_qualifications,Am I eligible for health insurance through my employer?,"Eligibility varies by employment status and coverage category. Based on SECTION_I_EMPLOYEE_HEALTH_BENEFITS, confirm your employee class (e.g., full-time/part-time, title/union where applicable) and any dependent details, and I’ll outline whether you qualify and the next steps.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_I_EMPLOYEE_HEALTH_BENEFITS
eligibility_and_qualifications,Do I qualify for coverage if I work part-time?,"Eligibility varies by employment status and coverage category. Based on SECTION_I_EMPLOYEE_HEALTH_BENEFITS, confirm your employee class (e.g., full-time/part-time, title/union where applicable) and any dependent details, and I’ll outline whether you qualify and the next steps.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_I_EMPLOYEE_HEALTH_BENEFITS
eligibility_and_qualifications,Can I add my spouse or partner to my plan?,"Eligibility varies by employment status and coverage category. Based on SECTION_I_EMPLOYEE_HEALTH_BENEFITS, confirm your employee class (e.g., full-time/part-time, title/union where applicable) and any dependent details, and I’ll outline whether you qualify and the next steps.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_I_EMPLOYEE_HEALTH_BENEFITS
eligibility_and_qualifications,Are children over 18 eligible?,"Eligibility varies by employment status and coverage category. Based on SECTION_I_EMPLOYEE_HEALTH_BENEFITS, confirm your employee class (e.g., full-time/part-time, title/union where applicable) and any dependent details, and I’ll outline whether you qualify and the next steps.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_I_EMPLOYEE_HEALTH_BENEFITS
eligibility_and_qualifications,Can I enroll if I recently changed jobs?,"Eligibility varies by employment status and coverage category. Based on SECTION_I_EMPLOYEE_HEALTH_BENEFITS, confirm your employee class (e.g., full-time/part-time, title/union where applicable) and any dependent details, and I’ll outline whether you qualify and the next steps.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_I_EMPLOYEE_HEALTH_BENEFITS
enrollment_and_required_documents,How do I enroll in my employer’s health plan?,"Enrollment requirements depend on your eligibility and the enrollment window. Per SECTION_I_EMPLOYEE_HEALTH_BENEFITS, share whether this is initial enrollment, open enrollment, or a qualifying life event, and I’ll list the exact documents and submission steps.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_I_EMPLOYEE_HEALTH_BENEFITS
enrollment_and_required_documents,What documents do I need to add my spouse?,"Enrollment requirements depend on your eligibility and the enrollment window. Per SECTION_I_EMPLOYEE_HEALTH_BENEFITS, share whether this is initial enrollment, open enrollment, or a qualifying life event, and I’ll list the exact documents and submission steps.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_I_EMPLOYEE_HEALTH_BENEFITS
enrollment_and_required_documents,When is the deadline to submit my enrollment application?,"Enrollment requirements depend on your eligibility and the enrollment window. Per SECTION_I_EMPLOYEE_HEALTH_BENEFITS, share whether this is initial enrollment, open enrollment, or a qualifying life event, and I’ll list the exact documents and submission steps.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_I_EMPLOYEE_HEALTH_BENEFITS
enrollment_and_required_documents,I missed the enrollment window—what are my options?,"Enrollment requirements depend on your eligibility and the enrollment window. Per SECTION_I_EMPLOYEE_HEALTH_BENEFITS, share whether this is initial enrollment, open enrollment, or a qualifying life event, and I’ll list the exact documents and submission steps.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_I_EMPLOYEE_HEALTH_BENEFITS
enrollment_and_required_documents,How do I submit proof for dependents?,"Enrollment requirements depend on your eligibility and the enrollment window. Per SECTION_I_EMPLOYEE_HEALTH_BENEFITS, share whether this is initial enrollment, open enrollment, or a qualifying life event, and I’ll list the exact documents and submission steps.","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_I_EMPLOYEE_HEALTH_BENEFITS
plan_options_and_comparison,What health plans are available to me?,"Plan choices differ by employee group and enrollment status. Using SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, I can summarize available plan types and compare trade-offs (premium vs. network vs. cost-sharing). Tell me what matters most (lowest premium, widest network, low copays, etc.).","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
plan_options_and_comparison,"What’s the difference between HMO, PPO, and EPO?","Plan choices differ by employee group and enrollment status. Using SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, I can summarize available plan types and compare trade-offs (premium vs. network vs. cost-sharing). Tell me what matters most (lowest premium, widest network, low copays, etc.).","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
plan_options_and_comparison,Which plans have the lowest copays?,"Plan choices differ by employee group and enrollment status. Using SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, I can summarize available plan types and compare trade-offs (premium vs. network vs. cost-sharing). Tell me what matters most (lowest premium, widest network, low copays, etc.).","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
plan_options_and_comparison,Which plan covers out-of-network doctors?,"Plan choices differ by employee group and enrollment status. Using SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, I can summarize available plan types and compare trade-offs (premium vs. network vs. cost-sharing). Tell me what matters most (lowest premium, widest network, low copays, etc.).","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
plan_options_and_comparison,Does any plan offer nationwide coverage?,"Plan choices differ by employee group and enrollment status. Using SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary, I can summarize available plan types and compare trade-offs (premium vs. network vs. cost-sharing). Tell me what matters most (lowest premium, widest network, low copays, etc.).","Ground answers in retrieved policy text; avoid plan-specific numbers unless explicitly present in the retrieved chunk; ask for employee class/plan name/dates when needed; if not supported, provide a safe redirect to HR/plan administrator.",SECTION_VII_Health_Plans_Overview_and_SBC_Details&Glossary
